date_time,cot_index,movement_index
2022-08-15 17:00:00,,
2022-08-16 17:00:00,,
2022-08-17 17:00:00,,
2022-08-18 17:00:00,,
2022-08-19 17:00:00,,
2022-08-22 17:00:00,,
2022-08-23 17:00:00,,
2022-08-24 17:00:00,,
2022-08-25 17:00:00,,
2022-08-26 17:00:00,,
2022-08-29 17:00:00,,
2022-08-30 17:00:00,,
2022-08-31 17:00:00,,
2022-09-01 17:00:00,,
2022-09-02 17:00:00,,
2022-09-06 17:00:00,,
2022-09-07 17:00:00,,
2022-09-08 17:00:00,,
2022-09-09 17:00:00,,
2022-09-12 17:00:00,,
2022-09-13 17:00:00,,
2022-09-14 17:00:00,,
2022-09-15 17:00:00,,
2022-09-16 17:00:00,,
2022-09-19 17:00:00,,
2022-09-20 17:00:00,,
2022-09-21 17:00:00,,
2022-09-22 17:00:00,,
2022-09-23 17:00:00,,
2022-09-26 17:00:00,,
2022-09-27 17:00:00,,
2022-09-28 17:00:00,,
2022-09-29 17:00:00,,
2022-09-30 17:00:00,,
2022-10-03 17:00:00,,
2022-10-04 17:00:00,,
2022-10-05 17:00:00,,
2022-10-06 17:00:00,,
2022-10-07 17:00:00,,
2022-10-10 17:00:00,,
2022-10-11 17:00:00,,
2022-10-12 17:00:00,,
2022-10-13 17:00:00,,
2022-10-14 17:00:00,,
2022-10-17 17:00:00,,
2022-10-18 17:00:00,,
2022-10-19 17:00:00,,
2022-10-20 17:00:00,,
2022-10-21 17:00:00,,
2022-10-24 17:00:00,,
2022-10-25 17:00:00,,
2022-10-26 17:00:00,,
2022-10-27 17:00:00,,
2022-10-28 17:00:00,,
2022-10-31 17:00:00,,
2022-11-01 17:00:00,,
2022-11-02 17:00:00,,
2022-11-03 17:00:00,,
2022-11-04 17:00:00,,
2022-11-07 17:00:00,,
2022-11-08 17:00:00,,
2022-11-09 17:00:00,,
2022-11-10 17:00:00,,
2022-11-11 17:00:00,,
2022-11-14 17:00:00,,
2022-11-15 17:00:00,,
2022-11-16 17:00:00,,
2022-11-17 17:00:00,,
2022-11-18 17:00:00,,
2022-11-21 17:00:00,,
2022-11-22 17:00:00,,
2022-11-23 17:00:00,,
2022-11-25 17:00:00,,
2022-11-28 17:00:00,,
2022-11-29 17:00:00,,
2022-11-30 17:00:00,,
2022-12-01 17:00:00,,
2022-12-02 17:00:00,,
2022-12-05 17:00:00,,
2022-12-06 17:00:00,,
2022-12-07 17:00:00,,
2022-12-08 17:00:00,,
2022-12-09 17:00:00,,
2022-12-12 17:00:00,,
2022-12-13 17:00:00,,
2022-12-14 17:00:00,,
2022-12-15 17:00:00,,
2022-12-16 17:00:00,,
2022-12-19 17:00:00,,
2022-12-20 17:00:00,,
2022-12-21 17:00:00,,
2022-12-22 17:00:00,,
2022-12-23 17:00:00,,
2022-12-27 17:00:00,,
2022-12-28 17:00:00,,
2022-12-29 17:00:00,,
2022-12-30 17:00:00,,
2023-01-03 17:00:00,,
2023-01-04 17:00:00,,
2023-01-05 17:00:00,,
2023-01-06 17:00:00,,
2023-01-09 17:00:00,,
2023-01-10 17:00:00,,
2023-01-11 17:00:00,,
2023-01-12 17:00:00,,
2023-01-13 17:00:00,,
2023-01-17 17:00:00,,
2023-01-18 17:00:00,,
2023-01-19 17:00:00,,
2023-01-20 17:00:00,,
2023-01-23 17:00:00,,
2023-01-24 17:00:00,,
2023-01-25 17:00:00,,
2023-01-26 17:00:00,,
2023-01-27 17:00:00,,
2023-01-30 17:00:00,,
2023-01-31 17:00:00,,
2023-02-01 17:00:00,,
2023-02-02 17:00:00,,
2023-02-03 17:00:00,,
2023-02-06 17:00:00,,
2023-02-07 17:00:00,,
2023-02-08 17:00:00,,
2023-02-09 17:00:00,,
2023-02-10 17:00:00,,
2023-02-13 17:00:00,,
2023-02-14 17:00:00,,
2023-02-15 17:00:00,,
2023-02-16 17:00:00,,
2023-02-17 17:00:00,,
2023-02-21 17:00:00,,
2023-02-22 17:00:00,,
2023-02-23 17:00:00,,
2023-02-24 17:00:00,,
2023-02-27 17:00:00,,
2023-02-28 17:00:00,,
2023-03-01 17:00:00,,
2023-03-02 17:00:00,,
2023-03-03 17:00:00,,
2023-03-06 17:00:00,,
2023-03-07 17:00:00,,
2023-03-08 17:00:00,,
2023-03-09 17:00:00,,
2023-03-10 17:00:00,,
2023-03-13 17:00:00,,
2023-03-14 17:00:00,,
2023-03-15 17:00:00,,
2023-03-16 17:00:00,,
2023-03-17 17:00:00,,
2023-03-20 17:00:00,,
2023-03-21 17:00:00,,
2023-03-22 17:00:00,,
2023-03-23 17:00:00,,
2023-03-24 17:00:00,,
2023-03-27 17:00:00,,
2023-03-28 17:00:00,,
2023-03-29 17:00:00,,
2023-03-30 17:00:00,,
2023-03-31 17:00:00,,
2023-04-03 17:00:00,,
2023-04-04 17:00:00,,
2023-04-05 17:00:00,,
2023-04-06 17:00:00,,
2023-04-07 17:00:00,,
2023-04-10 17:00:00,,
2023-04-11 17:00:00,,
2023-04-12 17:00:00,,
2023-04-13 17:00:00,,
2023-04-14 17:00:00,,
2023-04-17 17:00:00,,
2023-04-18 17:00:00,,
2023-04-19 17:00:00,,
2023-04-20 17:00:00,,
2023-04-21 17:00:00,,
2023-04-24 17:00:00,,
2023-04-25 17:00:00,,
2023-04-26 17:00:00,,
2023-04-27 17:00:00,,
2023-04-28 17:00:00,,
2023-05-01 17:00:00,,
2023-05-02 17:00:00,,
2023-05-03 17:00:00,,
2023-05-04 17:00:00,,
2023-05-05 17:00:00,,
2023-05-08 17:00:00,,
2023-05-09 17:00:00,,
2023-05-10 17:00:00,,
2023-05-11 17:00:00,,
2023-05-12 17:00:00,,
2023-05-15 17:00:00,,
2023-05-16 17:00:00,,
2023-05-17 17:00:00,,
2023-05-18 17:00:00,,
2023-05-19 17:00:00,,
2023-05-22 17:00:00,,
2023-05-23 17:00:00,,
2023-05-24 17:00:00,,
2023-05-25 17:00:00,,
2023-05-26 17:00:00,,
2023-05-30 17:00:00,,
2023-05-31 17:00:00,,
2023-06-01 17:00:00,,
2023-06-02 17:00:00,,
2023-06-05 17:00:00,,
2023-06-06 17:00:00,,
2023-06-07 17:00:00,,
2023-06-08 17:00:00,,
2023-06-09 17:00:00,,
2023-06-12 17:00:00,,
2023-06-13 17:00:00,,
2023-06-14 17:00:00,,
2023-06-15 17:00:00,,
2023-06-16 17:00:00,,
2023-06-20 17:00:00,,
2023-06-21 17:00:00,,
2023-06-22 17:00:00,,
2023-06-23 17:00:00,,
2023-06-26 17:00:00,,
2023-06-27 17:00:00,,
2023-06-28 17:00:00,,
2023-06-29 17:00:00,,
2023-06-30 17:00:00,,
2023-07-03 17:00:00,,
2023-07-05 17:00:00,,
2023-07-06 17:00:00,,
2023-07-07 17:00:00,,
2023-07-10 17:00:00,,
2023-07-11 17:00:00,,
2023-07-12 17:00:00,,
2023-07-13 17:00:00,,
2023-07-14 17:00:00,,
2023-07-17 17:00:00,,
2023-07-18 17:00:00,,
2023-07-19 17:00:00,,
2023-07-20 17:00:00,,
2023-07-21 17:00:00,,
2023-07-24 17:00:00,,
2023-07-25 17:00:00,,
2023-07-26 17:00:00,,
2023-07-27 17:00:00,,
2023-07-28 17:00:00,,
2023-07-31 17:00:00,,
2023-08-01 17:00:00,,
2023-08-02 17:00:00,,
2023-08-03 17:00:00,,
2023-08-04 17:00:00,,
2023-08-07 17:00:00,,
2023-08-08 17:00:00,,
2023-08-09 17:00:00,,
2023-08-10 17:00:00,,
2023-08-11 17:00:00,,
2023-08-14 17:00:00,32.11856974272083,
2023-08-15 17:00:00,0.0,
2023-08-16 17:00:00,0.0,
2023-08-17 17:00:00,0.0,
2023-08-18 17:00:00,0.0,
2023-08-21 17:00:00,0.0,
2023-08-22 17:00:00,0.0,
2023-08-23 17:00:00,1.6958790375090966,
2023-08-24 17:00:00,1.6958790375090966,
2023-08-25 17:00:00,1.6958790375090966,
2023-08-28 17:00:00,1.6958790375090966,
2023-08-29 17:00:00,1.6958790375090966,
2023-08-30 17:00:00,8.1676787140075,
2023-08-31 17:00:00,8.1676787140075,
2023-09-01 17:00:00,8.1676787140075,
2023-09-05 17:00:00,8.1676787140075,
2023-09-06 17:00:00,8.07870104386717,
2023-09-07 17:00:00,8.07870104386717,
2023-09-08 17:00:00,8.07870104386717,
2023-09-11 17:00:00,8.07870104386717,
2023-09-12 17:00:00,8.07870104386717,
2023-09-13 17:00:00,0.0,
2023-09-14 17:00:00,0.0,
2023-09-15 17:00:00,0.0,
2023-09-18 17:00:00,0.0,
2023-09-19 17:00:00,0.0,
2023-09-20 17:00:00,10.793284612051774,
2023-09-21 17:00:00,10.793284612051774,
2023-09-22 17:00:00,10.793284612051774,
2023-09-25 17:00:00,10.793284612051774,
2023-09-26 17:00:00,10.793284612051774,-21.325285130669055
2023-09-27 17:00:00,0.0,0.0
2023-09-28 17:00:00,0.0,0.0
2023-09-29 17:00:00,0.0,0.0
2023-10-02 17:00:00,0.0,0.0
2023-10-03 17:00:00,0.0,0.0
2023-10-04 17:00:00,0.0,0.0
2023-10-05 17:00:00,0.0,-1.6958790375090966
2023-10-06 17:00:00,0.0,-1.6958790375090966
2023-10-09 17:00:00,0.0,-1.6958790375090966
2023-10-10 17:00:00,0.0,-1.6958790375090966
2023-10-11 17:00:00,5.986755443030174,4.290876405521077
2023-10-12 17:00:00,5.986755443030174,-2.1809232709773267
2023-10-13 17:00:00,5.986755443030174,-2.1809232709773267
2023-10-16 17:00:00,5.986755443030174,-2.1809232709773267
2023-10-17 17:00:00,5.986755443030174,-2.1809232709773267
2023-10-18 17:00:00,0.0,-8.07870104386717
2023-10-19 17:00:00,0.0,-8.07870104386717
2023-10-20 17:00:00,0.0,-8.07870104386717
2023-10-23 17:00:00,0.0,-8.07870104386717
2023-10-24 17:00:00,0.0,-8.07870104386717
2023-10-25 17:00:00,0.0,0.0
2023-10-26 17:00:00,0.0,0.0
2023-10-27 17:00:00,0.0,0.0
2023-10-30 17:00:00,0.0,0.0
2023-10-31 17:00:00,0.0,0.0
2023-11-01 17:00:00,0.16160104105091708,-10.631683571000858
2023-11-02 17:00:00,0.16160104105091708,-10.631683571000858
2023-11-03 17:00:00,0.16160104105091708,-10.631683571000858
2023-11-06 17:00:00,0.16160104105091708,-10.631683571000858
2023-11-07 17:00:00,0.16160104105091708,-10.631683571000858
2023-11-08 17:00:00,14.901317048484565,14.901317048484565
2023-11-09 17:00:00,14.901317048484565,14.901317048484565
2023-11-10 17:00:00,14.901317048484565,14.901317048484565
2023-11-13 17:00:00,14.901317048484565,14.901317048484565
2023-11-14 17:00:00,14.901317048484565,14.901317048484565
2023-11-15 17:00:00,9.737100622164007,9.737100622164007
2023-11-16 17:00:00,9.737100622164007,9.737100622164007
2023-11-17 17:00:00,9.737100622164007,9.737100622164007
2023-11-20 17:00:00,9.737100622164007,9.737100622164007
2023-11-21 17:00:00,9.737100622164007,9.737100622164007
2023-11-22 17:00:00,14.609372009849158,8.622616566818984
2023-11-24 17:00:00,14.609372009849158,8.622616566818984
2023-11-27 17:00:00,14.609372009849158,8.622616566818984
2023-11-28 17:00:00,14.609372009849158,8.622616566818984
2023-11-29 17:00:00,12.055225029449664,6.06846958641949
2023-11-30 17:00:00,12.055225029449664,12.055225029449664
2023-12-01 17:00:00,12.055225029449664,12.055225029449664
2023-12-04 17:00:00,12.055225029449664,12.055225029449664
2023-12-05 17:00:00,12.055225029449664,12.055225029449664
2023-12-06 17:00:00,7.365817977690551,7.365817977690551
2023-12-07 17:00:00,7.365817977690551,7.365817977690551
2023-12-08 17:00:00,7.365817977690551,7.365817977690551
2023-12-11 17:00:00,7.365817977690551,7.365817977690551
2023-12-12 17:00:00,7.365817977690551,7.365817977690551
2023-12-13 17:00:00,11.956563341229103,11.956563341229103
2023-12-14 17:00:00,11.956563341229103,11.794962300178186
2023-12-15 17:00:00,11.956563341229103,11.794962300178186
2023-12-18 17:00:00,11.956563341229103,11.794962300178186
2023-12-19 17:00:00,11.956563341229103,11.794962300178186
2023-12-20 17:00:00,33.63300403577337,33.47140299472245
2023-12-21 17:00:00,33.63300403577337,18.731686987288803
2023-12-22 17:00:00,33.63300403577337,18.731686987288803
2023-12-26 17:00:00,33.63300403577337,18.731686987288803
2023-12-27 17:00:00,33.06973935453142,18.168422306046857
2023-12-28 17:00:00,33.06973935453142,18.168422306046857
2023-12-29 17:00:00,33.06973935453142,23.332638732367414
2024-01-02 17:00:00,33.06973935453142,23.332638732367414
2024-01-03 17:00:00,34.46397359949308,24.726872977329073
2024-01-04 17:00:00,34.46397359949308,24.726872977329073
2024-01-05 17:00:00,34.46397359949308,24.726872977329073
2024-01-08 17:00:00,34.46397359949308,19.85460158964392
2024-01-09 17:00:00,34.46397359949308,19.85460158964392
2024-01-10 17:00:00,10.680765648721863,-3.9286063611272954
2024-01-11 17:00:00,10.680765648721863,-3.9286063611272954
2024-01-12 17:00:00,10.680765648721863,-1.3744593807278012
2024-01-16 17:00:00,10.680765648721863,-1.3744593807278012
2024-01-17 17:00:00,29.166861580203022,17.11163655075336
2024-01-18 17:00:00,29.166861580203022,17.11163655075336
2024-01-19 17:00:00,29.166861580203022,17.11163655075336
2024-01-22 17:00:00,29.166861580203022,21.801043602512472
2024-01-23 17:00:00,29.166861580203022,21.801043602512472
2024-01-24 17:00:00,31.01698086728727,23.65116288959672
2024-01-25 17:00:00,31.01698086728727,23.65116288959672
2024-01-26 17:00:00,31.01698086728727,23.65116288959672
2024-01-29 17:00:00,31.01698086728727,19.060417526058167
2024-01-30 17:00:00,31.01698086728727,19.060417526058167
2024-01-31 17:00:00,37.621147622551,25.664584281321897
2024-02-01 17:00:00,37.621147622551,25.664584281321897
2024-02-02 17:00:00,37.621147622551,25.664584281321897
2024-02-05 17:00:00,37.621147622551,3.988143586777632
2024-02-06 17:00:00,37.621147622551,3.988143586777632
2024-02-07 17:00:00,41.798109267819704,8.165105232046336
2024-02-08 17:00:00,41.798109267819704,8.165105232046336
2024-02-09 17:00:00,41.798109267819704,8.728369913288283
2024-02-12 17:00:00,41.798109267819704,8.728369913288283
2024-02-13 17:00:00,41.798109267819704,8.728369913288283
2024-02-14 17:00:00,39.81509438776595,6.745355033234532
2024-02-15 17:00:00,39.81509438776595,5.351120788272873
2024-02-16 17:00:00,39.81509438776595,5.351120788272873
2024-02-20 17:00:00,39.81509438776595,5.351120788272873
2024-02-21 17:00:00,37.867589210153646,3.403615610660566
2024-02-22 17:00:00,37.867589210153646,3.403615610660566
2024-02-23 17:00:00,37.867589210153646,27.186823561431783
2024-02-26 17:00:00,37.867589210153646,27.186823561431783
2024-02-27 17:00:00,37.867589210153646,27.186823561431783
2024-02-28 17:00:00,37.41276733277482,26.732001684052957
2024-02-29 17:00:00,37.41276733277482,8.245905752571797
2024-03-01 17:00:00,37.41276733277482,8.245905752571797
2024-03-04 17:00:00,37.41276733277482,8.245905752571797
2024-03-05 17:00:00,37.41276733277482,8.245905752571797
2024-03-06 17:00:00,33.045711831322535,3.8788502511195126
2024-03-07 17:00:00,33.045711831322535,2.0287309640352653
2024-03-08 17:00:00,33.045711831322535,2.0287309640352653
2024-03-11 17:00:00,33.045711831322535,2.0287309640352653
2024-03-12 17:00:00,33.045711831322535,2.0287309640352653
2024-03-13 17:00:00,37.52269856727919,6.505717699991923
2024-03-14 17:00:00,37.52269856727919,-0.09844905527180714
2024-03-15 17:00:00,37.52269856727919,-0.09844905527180714
2024-03-18 17:00:00,37.52269856727919,-0.09844905527180714
2024-03-19 17:00:00,37.52269856727919,-0.09844905527180714
2024-03-20 17:00:00,30.797118398278524,-6.824029224272476
2024-03-21 17:00:00,30.797118398278524,-11.00099086954118
2024-03-22 17:00:00,30.797118398278524,-11.00099086954118
2024-03-25 17:00:00,30.797118398278524,-11.00099086954118
2024-03-26 17:00:00,30.797118398278524,-11.00099086954118
2024-03-27 17:00:00,23.27586573505084,-18.522243532768865
2024-03-28 17:00:00,23.27586573505084,-16.539228652715114
2024-04-01 17:00:00,23.27586573505084,-16.539228652715114
2024-04-02 17:00:00,23.27586573505084,-16.539228652715114
2024-04-03 17:00:00,3.003227768162043,-36.81186661960391
2024-04-04 17:00:00,3.003227768162043,-34.864361441991605
2024-04-05 17:00:00,3.003227768162043,-34.864361441991605
2024-04-08 17:00:00,3.003227768162043,-34.864361441991605
2024-04-09 17:00:00,3.003227768162043,-34.864361441991605
2024-04-10 17:00:00,0.0,-37.867589210153646
2024-04-11 17:00:00,0.0,-37.41276733277482
2024-04-12 17:00:00,0.0,-37.41276733277482
2024-04-15 17:00:00,0.0,-37.41276733277482
2024-04-16 17:00:00,0.0,-37.41276733277482
2024-04-17 17:00:00,0.0,-37.41276733277482
2024-04-18 17:00:00,0.0,-33.045711831322535
2024-04-19 17:00:00,0.0,-33.045711831322535
2024-04-22 17:00:00,0.0,-33.045711831322535
2024-04-23 17:00:00,0.0,-33.045711831322535
2024-04-24 17:00:00,0.0,-33.045711831322535
2024-04-25 17:00:00,0.0,-37.52269856727919
2024-04-26 17:00:00,0.0,-37.52269856727919
2024-04-29 17:00:00,0.0,-37.52269856727919
2024-04-30 17:00:00,0.0,-37.52269856727919
2024-05-01 17:00:00,6.292155668423636,-31.230542898855557
2024-05-02 17:00:00,6.292155668423636,-24.50496272985489
2024-05-03 17:00:00,6.292155668423636,-24.50496272985489
2024-05-06 17:00:00,6.292155668423636,-24.50496272985489
2024-05-07 17:00:00,6.292155668423636,-24.50496272985489
2024-05-08 17:00:00,15.15917436839438,-15.637944029884144
2024-05-09 17:00:00,15.15917436839438,-8.11669136665646
2024-05-10 17:00:00,15.15917436839438,-8.11669136665646
2024-05-13 17:00:00,15.15917436839438,-8.11669136665646
2024-05-14 17:00:00,15.15917436839438,-8.11669136665646
2024-05-15 17:00:00,18.689419336892033,15.68619156872999
2024-05-16 17:00:00,18.689419336892033,15.68619156872999
2024-05-17 17:00:00,18.689419336892033,15.68619156872999
2024-05-20 17:00:00,18.689419336892033,15.68619156872999
2024-05-21 17:00:00,18.689419336892033,15.68619156872999
2024-05-22 17:00:00,15.662284635392936,15.662284635392936
2024-05-23 17:00:00,15.662284635392936,15.662284635392936
2024-05-24 17:00:00,15.662284635392936,15.662284635392936
2024-05-28 17:00:00,15.662284635392936,15.662284635392936
2024-05-29 17:00:00,13.43018245940506,13.43018245940506
2024-05-30 17:00:00,13.43018245940506,13.43018245940506
2024-05-31 17:00:00,13.43018245940506,13.43018245940506
2024-06-03 17:00:00,13.43018245940506,13.43018245940506
2024-06-04 17:00:00,13.43018245940506,13.43018245940506
2024-06-05 17:00:00,22.838840048664366,22.838840048664366
2024-06-06 17:00:00,26.431288529709967,26.431288529709967
2024-06-07 17:00:00,26.431288529709967,26.431288529709967
2024-06-10 17:00:00,26.431288529709967,26.431288529709967
2024-06-11 17:00:00,26.431288529709967,26.431288529709967
2024-06-12 17:00:00,33.09947233261547,33.09947233261547
2024-06-13 17:00:00,35.92405546240424,29.631899793980605
